x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
27.998243,12.194345,-3.680517,-11156,11266,-481.000000,529.000000,-24056.013672,26456.613281,60.184238,62.909473,19995
26.662064,13.518579,-3.800864,-11242,11334,-491.399994,537.400024,-24572.457031,26872.689453,60.742107,63.229198,19998
25.244768,14.710959,-3.921239,-11211,11384,-470.399994,540.400024,-23520.000000,27020.001953,58.388512,62.539192,20000
23.643539,15.632923,-4.041404,-11205,11408,-471.399994,556.599976,-23572.357422,27832.781250,58.672565,63.343391,19998
21.894720,16.302994,-4.161421,-11193,11328,-470.399994,542.200012,-23516.472656,27105.935547,58.891045,61.405121,20003
20.094282,16.888571,-4.282344,-11236,11334,-497.799988,519.599976,-24892.488281,25982.597656,61.885529,59.029980,19998
18.241211,17.214937,-4.404477,-11248,11316,-498.799988,512.000000,-24944.988281,25605.121094,61.598789,59.137737,19996
16.265472,17.412668,-4.525972,-11260,11334,-496.600006,520.799988,-24828.759766,26038.697266,60.979252,60.950138,20001
14.519364,17.243927,-4.646020,-11230,11384,-485.600006,530.799988,-24282.427734,26542.654297,59.931934,61.860035,19998
12.561940,16.915001,-4.766307,-11211,11384,-480.000000,531.400024,-23996.400391,26566.015625,59.563778,61.396317,20003
10.745128,16.421759,-4.886475,-11223,11384,-478.799988,530.799988,-23945.986328,26546.636719,59.496147,60.279400,19995
8.918421,15.679997,-5.006712,-11217,11316,-489.799988,520.599976,-24491.224609,26031.300781,60.818310,59.850811,19999
7.321266,14.673149,-5.126245,-11242,11390,-479.000000,534.400024,-23951.197266,26721.337891,59.146431,61.484222,19999
5.667879,13.662845,-5.245944,-11273,11402,-499.799988,550.799988,-24990.000000,27540.000000,61.391705,63.337013,20000
4.355352,12.308005,-5.366272,-11236,11408,-475.799988,545.400024,-23787.621094,27267.275391,58.739368,61.933716,20002
3.050974,10.976967,-5.486232,-11205,11334,-480.799988,534.200012,-24043.605469,26714.007812,59.706509,61.020756,19997
