time,x,y,theta,left_velocity,right_velocity,left_voltage,right_voltage,left_actual_velocity,right_actual_velocity,left_actual_voltage,right_actual_voltage,clamp,intake,conveyor
7289927,0.000004,0.001390,0.000762,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7299927,0.000004,0.001290,0.000775,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7309928,0.000004,0.001403,0.000760,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7319927,0.000005,0.001613,0.000733,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7329928,0.000006,0.001985,0.000684,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7339928,0.000007,0.002379,0.000632,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7349928,0.000009,0.002747,0.000583,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7359928,0.000010,0.003094,0.000538,0,0,0,0,0.000000,0.000000,0.000000,4.000000,0,-0.000000,0.000000
7369928,0.000010,0.003319,0.000508,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7379928,0.000011,0.003490,0.000485,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7389928,0.000011,0.003513,0.000482,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7399928,0.000010,0.003374,0.000501,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7425927,0.000009,0.002997,0.000550,0,0,0,0,0.000000,0.000000,-4.000000,4.000000,0,-0.000000,0.000000
7435927,0.000009,0.002873,0.000567,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7445928,0.000009,0.002774,0.000580,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
7455927,0.000008,0.002547,0.000610,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
7465928,0.000007,0.002373,0.000633,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7475927,0.000008,0.002579,0.000605,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
7485928,0.000008,0.002589,0.000604,0,0,0,0,0.000000,0.000000,-2.000000,-4.000000,0,-0.000000,0.000000
7495928,0.000009,0.002775,0.000580,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7505928,0.000009,0.002928,0.000560,0,0,0,0,0.000000,0.000000,-2.000000,4.000000,0,-0.000000,0.000000
7515928,0.000010,0.003200,0.000524,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,-0.000000,0.000000
7525928,0.000011,0.003518,0.000482,0,0,0,0,0.000000,0.000000,2.000000,-2.000000,0,-0.000000,0.000000
7535928,0.000010,0.003333,0.000506,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
7545928,0.000010,0.003315,0.000509,0,0,0,0,0.000000,0.000000,2.000000,4.000000,0,-0.000000,0.000000
7555928,0.000010,0.003330,0.000507,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7565928,0.000010,0.003163,0.000529,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7575928,0.000010,0.003179,0.000526,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7585928,0.000010,0.003204,0.000523,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7595928,0.000010,0.003204,0.000523,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7605928,0.000010,0.003174,0.000527,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7615928,0.000010,0.003392,0.000498,0,0,0,0,0.000000,0.000000,2.000000,2.000000,0,-0.000000,0.000000
7625928,0.000010,0.003100,0.000537,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
7635928,0.000010,0.003183,0.000526,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7645928,0.000009,0.003066,0.000541,0,0,0,0,0.000000,0.000000,4.000000,0.000000,0,-0.000000,0.000000
7655928,0.000010,0.003083,0.000539,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7683019,0.000010,0.003084,0.000539,0,0,0,0,0.000000,0.000000,-6.000000,0.000000,0,-0.000000,0.000000
7692995,0.000010,0.003340,0.000505,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7703019,0.000009,0.003055,0.000543,0,0,0,0,0.000000,0.000000,-2.000000,0.000000,0,-0.000000,0.000000
7712996,0.000010,0.003196,0.000524,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7723021,0.000009,0.003034,0.000546,0,0,0,0,0.000000,0.000000,-4.000000,-4.000000,0,-0.000000,0.000000
7732996,0.000009,0.002871,0.000567,0,0,0,0,0.000000,0.000000,2.000000,0.000000,0,-0.000000,0.000000
7743020,0.000009,0.002871,0.000567,0,0,0,0,0.000000,0.000000,-4.000000,0.000000,0,-0.000000,0.000000
7752997,0.000008,0.002623,0.000600,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7763020,0.000009,0.002758,0.000582,0,0,0,0,0.000000,0.000000,0.000000,-4.000000,0,-0.000000,0.000000
7772996,0.000008,0.002689,0.000591,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7783019,0.000008,0.002689,0.000591,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7792997,0.000009,0.002895,0.000564,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7803019,0.000010,0.003113,0.000535,0,0,0,0,0.000000,0.000000,4.000000,-4.000000,0,-0.000000,0.000000
7812996,0.000010,0.003250,0.000517,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7823019,0.000010,0.003280,0.000513,0,0,0,0,0.000000,0.000000,-2.000000,-2.000000,0,-0.000000,0.000000
7832997,0.000011,0.003469,0.000488,0,0,0,0,0.000000,0.000000,0.000000,-4.000000,0,-0.000000,0.000000
7843021,0.000011,0.003547,0.000478,0,0,0,0,0.000000,0.000000,-4.000000,-2.000000,0,-0.000000,0.000000
7852995,0.000011,0.003670,0.000462,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
7863019,0.000010,0.003355,0.000503,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7872995,0.000010,0.003230,0.000520,0,0,0,0,0.000000,0.000000,0.000000,-4.000000,0,-0.000000,0.000000
7883020,0.000009,0.003019,0.000548,0,0,0,0,0.000000,0.000000,0.000000,-2.000000,0,-0.000000,0.000000
7892997,0.000009,0.002880,0.000566,0,0,0,0,0.000000,0.000000,-2.000000,2.000000,0,-0.000000,0.000000
7903021,0.000009,0.002816,0.000574,0,0,0,0,0.000000,0.000000,-4.000000,2.000000,0,-0.000000,0.000000
7912997,0.000008,0.002660,0.000595,0,0,0,0,0.000000,0.000000,0.000000,2.000000,0,-0.000000,0.000000
