volt,velo
10041.0,376.8
10188.0,399.8
10287.0,414.0
10312.0,409.6
10330.0,414.6
10379.0,422.4
10423.0,412.6
10515.0,446.4
10607.0,448.0
10638.0,462.8
10687.0,468.4
10657.0,438.4
10749.0,479.6
10829.0,494.6
10854.0,474.4
10860.0,505.4
11297.0,508.2
11285.0,473.0
11365.0,503.8
11359.0,476.2
11445.0,514.4
11501.0,530.4
11494.0,513.4
11544.0,518.6
11519.0,517.6
11501.0,522.2
11507.0,494.2
11544.0,528.0
11538.0,511.4
11433.0,490.4
11538.0,514.8
11507.0,514.0
11451.0,534.8
11032.0,517.0
11045.0,500.4
10669.0,501.4
10429.0,496.2
10466.0,508.6
10527.0,493.4
10577.0,500.2
10607.0,509.8
10644.0,488.6
10718.0,498.0
10743.0,502.8
10768.0,505.4
11408.0,511.2
11476.0,501.6
11433.0,496.0
11451.0,500.6
11488.0,513.4
11513.0,508.6
11550.0,523.8
11574.0,539.2
11562.0,525.4
11544.0,515.6
11574.0,521.8
11556.0,530.0
11574.0,526.2
11482.0,504.4
11507.0,514.0
11513.0,512.8
11538.0,508.6
11581.0,521.6
11513.0,504.0
11451.0,486.4
11433.0,494.8
11439.0,502.6
11445.0,490.0
11476.0,495.0
10977.0,481.4
10626.0,464.4
10299.0,465.2
10238.0,476.2
10312.0,465.4
10324.0,469.8
10195.0,449.8
10102.0,430.8
10201.0,456.2
10213.0,433.2
10256.0,450.6
10293.0,452.0
10349.0,451.4
10435.0,463.4
10466.0,449.2
10509.0,460.8
10521.0,479.6
10620.0,471.8
10638.0,478.2
10687.0,482.4
10694.0,466.6
10743.0,483.6
10768.0,472.8
10774.0,496.0
10891.0,517.0
10915.0,498.4
10872.0,496.8
10866.0,500.0
10891.0,483.6
11039.0,525.0
11020.0,507.0
11076.0,518.8
11069.0,504.8
11032.0,505.6
11106.0,522.0
11131.0,522.8
11162.0,537.2
11137.0,513.6
11119.0,510.8
11143.0,537.4
11131.0,512.2
11174.0,522.2
11211.0,520.8
11494.0,538.0
11494.0,530.8
11568.0,524.2
11611.0,538.2
11636.0,544.8
11655.0,538.8
11611.0,539.2
11581.0,530.4
11581.0,529.4
11692.0,553.0
11716.0,565.6
11692.0,550.0
11611.0,518.4
11494.0,507.2
11057.0,515.2
11205.0,530.2
11100.0,530.8
10885.0,532.6
10829.0,514.4
10860.0,513.8
10872.0,540.0
10885.0,525.8
10977.0,520.0
10971.0,511.0
11014.0,526.2
10903.0,509.2
11032.0,522.2
11531.0,542.6
11642.0,539.0
11611.0,523.2
11562.0,525.2
11599.0,524.0
11605.0,521.0
11673.0,549.2
11698.0,549.2
11599.0,517.2
11642.0,523.8
11642.0,542.2
11692.0,565.2
11685.0,544.2
11618.0,532.8
11574.0,525.6
11531.0,518.8
11624.0,538.0
11593.0,530.2
11205.0,519.4
10891.0,487.0
10737.0,523.6
10472.0,501.6
10410.0,483.6
10367.0,479.0
10342.0,454.2
10299.0,451.0
10367.0,453.2
10373.0,461.8
10453.0,470.2
10496.0,469.4
10515.0,465.6
10527.0,461.0
10478.0,458.6
10521.0,450.0
10650.0,470.6
10663.0,463.6
10749.0,478.8
10823.0,493.8
10786.0,459.4
10774.0,475.2
10792.0,492.2
11377.0,496.8
11507.0,512.2
11451.0,486.4
11420.0,491.2
11464.0,499.4
11488.0,515.4
11568.0,516.2
11587.0,517.6
11587.0,527.0
11513.0,499.2
11531.0,501.6
11544.0,525.8
11574.0,538.2
11642.0,534.0
11353.0,483.6
10829.0,501.4
10841.0,494.4
10620.0,507.4
10398.0,506.4
10429.0,493.4
10416.0,489.2
10361.0,463.2
10404.0,458.2
10509.0,491.8
10527.0,474.4
10632.0,481.6
10614.0,465.8
10577.0,455.8
10657.0,469.2
10687.0,484.6
10792.0,496.2
10823.0,494.0
10786.0,481.0
10768.0,476.6
10786.0,477.0
11131.0,515.0
11470.0,502.0
11531.0,515.0
11574.0,529.2
11525.0,504.0
11544.0,516.4
11599.0,529.4
11624.0,540.4
11648.0,544.0
11611.0,525.8
11377.0,515.4
10860.0,491.6
11156.0,533.4
10860.0,526.8
10632.0,508.4
10657.0,513.0
10644.0,508.4
10626.0,489.4
10743.0,499.0
10829.0,523.4
10909.0,523.8
10860.0,496.2
10848.0,501.2
10841.0,495.8
10915.0,522.0
11039.0,534.2
11045.0,516.0
11002.0,506.2
10989.0,516.2
10977.0,509.6
11026.0,507.0
11076.0,522.2
11106.0,517.6
11032.0,496.4
11039.0,499.4
11063.0,517.2
11100.0,516.4
11149.0,525.6
11125.0,513.4
11094.0,499.8
11100.0,505.2
11433.0,524.6
11642.0,536.6
11624.0,521.0
11636.0,535.6
11618.0,540.4
11630.0,543.0
11648.0,530.6
11685.0,555.2
11698.0,540.6
11599.0,516.6
11642.0,541.4
11661.0,541.4
11692.0,557.2
11673.0,532.6
11642.0,534.8
11636.0,544.6
11618.0,533.6
11611.0,527.4
11574.0,529.6
11599.0,529.0
11513.0,508.0
11525.0,521.4
11531.0,510.0
11525.0,506.2
11531.0,520.6
11470.0,491.8
11414.0,475.4
11439.0,482.2
11408.0,497.2
11433.0,494.2
11470.0,504.0
11457.0,487.4
11433.0,480.4
11433.0,481.4
11396.0,494.8
11396.0,490.4
11100.0,484.6
10700.0,470.6
10829.0,456.8
10201.0,463.4
10441.0,448.4
10071.0,433.8
10225.0,449.6
10207.0,424.8
10053.0,425.8
10102.0,423.8
10084.0,419.2
10065.0,433.0
10207.0,427.2
7010.0,335.4
4115.0,255.6
3339.0,231.0
3031.0,222.0
3505.0,265.4
4380.0,335.6
5205.0,366.8
5076.0,349.8
4571.0,302.6
3456.0,235.2
2932.0,207.0
2643.0,191.4
2458.0,186.0
2495.0,192.0
4792.0,255.0
8704.0,439.8
10540.0,504.0
10398.0,318.6
9671.0,211.2
9628.0,307.0
10170.0,344.0
10188.0,333.4
10256.0,364.6
10336.0,369.8
10392.0,399.6
10435.0,399.4
10453.0,409.4
10558.0,425.2
10601.0,435.6
10724.0,467.6
10731.0,461.4
10650.0,441.4
10755.0,489.4
10768.0,459.4
10786.0,475.0
10922.0,521.2
10885.0,485.2
11242.0,500.6
11420.0,498.2
11347.0,478.4
11507.0,537.4
11476.0,501.0
11519.0,521.8
11544.0,518.8
11531.0,525.8
11531.0,514.8
11470.0,500.0
11519.0,535.0
11507.0,512.6
11414.0,484.8
11464.0,513.4
11464.0,510.2
11482.0,504.8
11439.0,508.2
11439.0,486.8
11414.0,479.6
11476.0,504.0
11193.0,503.4
10786.0,479.0
10650.0,498.6
10416.0,487.8
10219.0,452.4
10269.0,466.0
10238.0,463.0
10293.0,464.2
10355.0,484.0
10398.0,479.2
10373.0,449.6
10410.0,459.0
10435.0,441.2
10472.0,464.8
10564.0,466.8
10644.0,473.4
10687.0,477.0
10614.0,441.6
10669.0,478.6
10774.0,498.2
10841.0,489.6
10848.0,508.6
10817.0,485.6
10780.0,475.8
10854.0,500.6
10774.0,467.6
10903.0,509.4
11002.0,521.0
10977.0,493.6
10922.0,495.0
11174.0,511.6
11131.0,506.8
11420.0,503.8
11525.0,532.8
11550.0,528.6
11476.0,492.0
11531.0,519.4
11538.0,521.2
11618.0,545.4
11679.0,552.4
11673.0,530.2
11611.0,520.2
11587.0,520.0
11661.0,558.6
11667.0,547.8
11679.0,556.8
11618.0,519.6
11556.0,528.2
11390.0,520.4
11020.0,509.4
7965.0,465.8
6191.0,390.8
5254.0,344.8
4620.0,303.4
4041.0,272.6
3770.0,271.0
4626.0,355.0
5538.0,392.6
-1103.0,154.0
-6049.0,-21.4
-6055.0,-21.4
-6031.0,-21.4
-6228.0,-43.4
-6209.0,-17.0
-6807.0,-16.6
-7651.0,-126.0
-7879.0,-132.0
-7946.0,-145.0
-8310.0,-195.4
-9166.0,-278.8
-9425.0,-254.4
-9486.0,-280.4
-9628.0,-298.8
-9683.0,-305.0
-9819.0,-348.6
-10386.0,-348.8
-10681.0,-395.0
-10786.0,-380.8
-10878.0,-410.6
-10983.0,-412.6
-11014.0,-410.2
-11082.0,-428.6
-10755.0,-430.8
-10410.0,-437.2
-10287.0,-446.2
-10336.0,-431.6
-10324.0,-437.8
-10367.0,-451.2
-10262.0,-426.2
-10096.0,-438.0
-10084.0,-434.4
-10182.0,-431.6
-10053.0,-421.0
-10028.0,-394.2
-9973.0,-394.0
-10016.0,-405.4
-10065.0,-390.4
-10102.0,-406.6
-10084.0,-408.6
-7725.0,-326.4
-5334.0,-287.8
-3400.0,-217.0
-2255.0,-152.4
-1675.0,-135.2
-2248.0,-198.2
-3388.0,-264.4
-3579.0,-256.6
-3394.0,-244.4
-3043.0,-223.8
-2661.0,-193.0
-1903.0,-140.6
-1109.0,-94.4
2211.0,-0.0
5907.0,251.2
8649.0,183.0
6517.0,61.6
5846.0,61.6
7318.0,133.4
8205.0,163.6
7940.0,146.2
1860.0,116.2
68.0,19.6
-49.0,19.6
6.0,-0.0
234.0,-0.0
752.0,63.6
1010.0,98.2
1078.0,91.2
-2864.0,22.6
-7084.0,-270.6
-8809.0,-148.8
-6881.0,-61.6
-7201.0,-128.4
-8624.0,-202.6
-8458.0,-185.2
-8427.0,-171.2
-8889.0,-210.6
-8772.0,-243.2
-9375.0,-276.4
-9529.0,-299.4
-9609.0,-310.8
-9708.0,-321.8
-9800.0,-325.8
-9948.0,-374.4
-10034.0,-362.2
-10115.0,-379.4
-10225.0,-400.2
-10312.0,-411.6
-5224.0,-258.8
166.0,-140.4
5513.0,195.4
6443.0,41.0
5501.0,-23.8
5883.0,-23.8
5692.0,-23.8
5741.0,-13.2
5704.0,-0.0
3955.0,18.0
795.0,8.8
-99.0,-0.0
-55.0,-10.2
31.0,-10.2
12.0,-16.6
74.0,-4.2
216.0,3.0
579.0,19.6
604.0,41.2
493.0,32.0
265.0,22.6
1146.0,17.6
4731.0,99.4
8778.0,364.6
9006.0,127.2
6234.0,66.0
6363.0,61.8
8013.0,158.2
8013.0,132.8
8057.0,159.6
8704.0,200.4
8969.0,241.6
8846.0,237.6
9215.0,250.6
9437.0,278.2
9548.0,292.2
9634.0,297.2
9751.0,314.4
9917.0,351.4
10028.0,374.2
10041.0,362.8
10164.0,383.4
10262.0,397.4
10299.0,394.6
10355.0,424.8
10441.0,438.8
10484.0,430.6
10577.0,461.4
10718.0,477.0
10749.0,448.8
10724.0,466.0
10755.0,466.0
10835.0,481.2
10897.0,487.4
11020.0,504.0
11008.0,484.2
10903.0,478.8
10903.0,487.0
10965.0,506.2
11020.0,485.2
11026.0,498.0
11063.0,517.6
10570.0,465.6
10965.0,499.6
7429.0,433.6
-869.0,148.2
-5883.0,-56.8
-6332.0,-63.2
-5914.0,-63.2
-5975.0,-53.8
-6012.0,-53.8
-6086.0,-50.2
-6061.0,-31.6
-6061.0,-31.6
-6302.0,-18.6
-7675.0,-162.6
-8870.0,-217.4
-8753.0,-202.0
-9258.0,-247.6
-9819.0,-314.8
-9948.0,-317.4
-10034.0,-336.0
-10152.0,-359.0
-10244.0,-412.8
-10318.0,-417.8
-10398.0,-437.0
-10472.0,-459.2
-10515.0,-476.0
-10644.0,-474.4
-10694.0,-507.8
-10700.0,-506.0
-10675.0,-492.2
-10694.0,-506.2
-10737.0,-495.0
-10743.0,-517.2
-10804.0,-532.6
-10798.0,-517.0
-10835.0,-526.8
-10798.0,-537.0
-10811.0,-532.4
-10866.0,-527.8
-10897.0,-525.6
-10848.0,-520.4
-10761.0,-506.8
-10817.0,-516.0
-10798.0,-501.8
-10829.0,-515.0
-10854.0,-534.4
-10817.0,-508.0
-10841.0,-502.2
-10848.0,-491.6
-10866.0,-512.8
-10854.0,-493.4
-10829.0,-487.2
-10829.0,-491.2
-6936.0,-391.0
-5230.0,-338.8
-4281.0,-275.8
-3634.0,-255.2
-216.0,-137.4
5353.0,-102.8
5569.0,-102.8
5476.0,-102.8
5870.0,-104.2
5679.0,-104.2
6591.0,53.2
8076.0,186.8
8612.0,195.8
8199.0,159.6
8316.0,187.8
9006.0,227.4
8679.0,216.0
9111.0,263.4
9419.0,274.2
9462.0,286.8
9560.0,298.4
9659.0,327.6
9677.0,311.8
9696.0,327.0
9813.0,343.6
9911.0,349.8
9967.0,368.6
9985.0,357.2
10084.0,390.6
10182.0,388.2
10188.0,378.8
10158.0,382.4
10238.0,388.6
10225.0,365.6
10250.0,398.0
10336.0,412.8
10349.0,406.4
10349.0,408.6
10429.0,419.2
10416.0,396.0
10410.0,413.0
10453.0,422.2
10509.0,414.0
10478.0,421.0
10577.0,432.8
10558.0,418.2
10472.0,408.6
10607.0,438.0
10552.0,408.6
10583.0,422.0
10632.0,441.4
10669.0,429.4
10632.0,431.2
10601.0,417.8
10601.0,419.6
10552.0,414.2
10632.0,440.6
10626.0,411.8
10632.0,420.0
10638.0,434.4
10601.0,403.0
10570.0,426.6
10614.0,419.8
10657.0,429.2
