volt,velo,accel,dt
3862.0,-0.0,0.0,19998.0
4534.0,91.8,4592.2964,19990.0
3443.0,29.0,1450.0725,19999.0
7201.0,145.4,7270.3633,19999.0
7503.0,136.4,6820.341,19999.0
7669.0,117.0,5850.2925,19999.0
7509.0,145.0,7250.3623,19999.0
7589.0,168.6,8430.0,20000.0
8575.0,246.0,12301.23,19998.0
9000.0,244.8,12240.0,20000.0
9080.0,246.2,12311.231,19998.0
9178.0,262.2,13110.656,19999.0
9431.0,303.0,15150.0,20000.0
9646.0,292.8,14640.731,19999.0
9800.0,329.0,16450.822,19999.0
9917.0,345.8,17290.863,19999.0
10004.0,343.2,17161.717,19998.0
10071.0,374.4,18720.0,20000.0
10164.0,359.8,17990.898,19999.0
10250.0,372.2,18610.932,19999.0
10299.0,390.8,19540.977,19999.0
10361.0,393.6,19680.984,19999.0
10429.0,422.8,21141.057,19999.0
10484.0,436.6,21831.092,19999.0
10490.0,433.2,21661.084,19999.0
10570.0,418.0,20891.643,20008.0
9086.0,438.4,21930.965,19990.0
9178.0,415.8,20781.688,20008.0
8045.0,419.4,20971.049,19999.0
2187.0,215.6,10780.0,20000.0
-3437.0,-0.0,0.0,19990.0
-6037.0,-12.4,-620.062,19998.0
-5815.0,-22.2,-1110.0555,19999.0
-5914.0,-22.2,-1110.0555,19999.0
-5963.0,-22.2,-1110.0,20000.0
-5938.0,-38.4,-1920.1921,19998.0
-5932.0,-35.0,-1750.0875,19999.0
-5901.0,-35.0,-1750.0,20000.0
-5975.0,-45.4,-2270.227,19998.0
-7780.0,-160.6,-8030.402,19999.0
-7503.0,-134.8,-6740.3374,19999.0
-8193.0,-194.6,-9730.487,19999.0
-8427.0,-215.8,-10790.0,20000.0
-8852.0,-222.2,-11110.556,19999.0
-8969.0,-248.4,-12421.242,19998.0
-9147.0,-265.4,-13270.0,20000.0
-9449.0,-287.6,-14380.72,19999.0
-9628.0,-312.2,-15610.781,19999.0
-9702.0,-311.2,-15560.778,19999.0
-9782.0,-331.4,-16571.656,19998.0
-9917.0,-356.6,-17830.0,20000.0
-9985.0,-353.0,-17650.883,19999.0
-10078.0,-373.6,-18680.934,19999.0
-10115.0,-373.6,-18680.934,19999.0
-10250.0,-408.4,-20421.021,19999.0
-10306.0,-412.6,-20630.0,20000.0
-10330.0,-409.0,-20451.023,19999.0
-10441.0,-433.4,-21670.0,20000.0
-10515.0,-432.4,-21621.08,19999.0
-10527.0,-439.2,-21961.1,19999.0
-10583.0,-444.8,-22234.441,20005.0
-10768.0,-453.8,-22697.943,19993.0
-11014.0,-477.2,-23855.23,20004.0
-11063.0,-476.6,-23835.959,19995.0
-11156.0,-485.4,-24260.295,20008.0
-9794.0,-442.8,-22145.535,19995.0
-8624.0,-431.8,-21596.479,19994.0
-10182.0,-497.4,-24871.244,19999.0
-10527.0,-489.2,-24461.225,19999.0
-10509.0,-480.0,-24001.2,19999.0
-10509.0,-499.2,-24960.0,20000.0
-10509.0,-472.6,-23632.363,19998.0
-10484.0,-468.2,-23411.172,19999.0
-10453.0,-468.8,-23441.172,19999.0
-10367.0,-456.6,-22831.143,19999.0
-10201.0,-437.4,-21870.0,20000.0
-10096.0,-438.8,-21942.193,19998.0
-10182.0,-431.6,-21581.08,19999.0
-10059.0,-402.6,-20130.0,20000.0
-10115.0,-416.4,-20822.082,19998.0
-10238.0,-410.4,-20518.975,20001.0
-10287.0,-426.0,-21302.13,19998.0
-10293.0,-399.4,-19970.0,20000.0
-10293.0,-379.0,-18950.0,20000.0
-10355.0,-411.6,-20582.059,19998.0
-10330.0,-371.8,-18590.0,20000.0
-10349.0,-372.0,-18600.0,20000.0
-10373.0,-371.8,-18590.0,20000.0
-10367.0,-371.6,-18580.93,19999.0
-10379.0,-381.4,-19070.953,19999.0
-10361.0,-366.4,-18320.916,19999.0
-10361.0,-375.4,-18770.938,19999.0
-10379.0,-369.0,-18442.623,20008.0
-7700.0,-291.0,-14552.183,19997.0
-5519.0,-236.0,-11805.903,19990.0
-2002.0,-115.8,-5790.0,20000.0
-912.0,-62.0,-3100.155,19999.0
-55.0,-45.4,-2270.1135,19999.0
43.0,-11.0,-550.0275,19999.0
12.0,-11.0,-550.0275,19999.0
197.0,5.6,280.014,19999.0
708.0,50.2,2510.1255,19999.0
869.0,86.2,4310.2153,19999.0
918.0,87.4,4370.2188,19999.0
819.0,75.8,3790.1897,19999.0
715.0,67.2,3360.168,19999.0
641.0,47.8,2390.1194,19999.0
363.0,33.2,1660.0,20000.0
55.0,33.2,1660.166,19998.0
0.0,34.0,1698.9806,20012.0
-690.0,34.0,1700.085,19999.0
-4817.0,-159.2,-7963.982,19990.0
-8679.0,-169.2,-8460.423,19999.0
-7164.0,-68.0,-3400.34,19998.0
-6511.0,-67.2,-3359.9998,20000.0
-7059.0,-95.6,-4778.089,20008.0
-2883.0,-125.4,-6273.1367,19990.0
-4392.0,-29.6,-1479.5562,20006.0
-5353.0,-142.6,-7133.924,19989.0
265.0,65.6,3280.1638,19999.0
702.0,58.0,2900.145,19999.0
530.0,41.0,2050.205,19998.0
55.0,32.2,1609.0347,20012.0
-1072.0,32.2,1610.0806,19999.0
-5285.0,-105.8,-5292.6465,19990.0
-6924.0,-101.0,-5050.2524,19999.0
-6684.0,-54.4,-2720.2722,19998.0
-6671.0,-35.2,-1759.2084,20009.0
-5464.0,-87.0,-4350.87,19996.0
-2168.0,-38.4,-1919.7122,20003.0
1164.0,-15.4,-770.0385,19999.0
5082.0,196.8,9845.415,19989.0
8093.0,169.4,8470.423,19999.0
6850.0,87.8,4390.2197,19999.0
5809.0,87.8,4390.0,20000.0
6585.0,52.0,2600.1301,19999.0
7638.0,132.6,6630.6636,19998.0
7897.0,136.6,6830.0005,20000.0
7096.0,94.8,4740.2373,19999.0
8236.0,191.4,9510.086,20126.0
8575.0,237.2,11936.393,19872.0
9012.0,221.0,11051.105,19998.0
8993.0,254.4,12720.0,20000.0
9203.0,265.6,13281.328,19998.0
9462.0,287.8,14390.719,19999.0
9505.0,272.4,13620.0,20000.0
9566.0,291.6,14581.458,19998.0
9511.0,271.0,13550.0,20000.0
9215.0,250.4,12520.626,19999.0
8384.0,190.6,9530.477,19999.0
8267.0,227.0,11350.0,20000.0
8020.0,112.0,5600.56,19998.0
6345.0,71.8,3590.0002,20000.0
5575.0,18.2,909.63617,20008.0
4737.0,31.0,1550.31,19996.0
2723.0,31.0,1549.845,20002.0
-1368.0,-79.6,-3982.1902,19989.0
-6696.0,-309.6,-15480.0,20000.0
-9609.0,-284.2,-14210.711,19999.0
-9135.0,-185.6,-9280.464,19999.0
-7922.0,-101.4,-5070.0,20000.0
-6825.0,-85.2,-4260.213,19999.0
-7835.0,-153.0,-7650.3823,19999.0
-7940.0,-157.2,-7860.393,19999.0
-8230.0,-203.2,-10160.508,19999.0
-7934.0,-209.4,-10470.523,19999.0
-9123.0,-251.6,-12580.629,19999.0
-9166.0,-264.6,-13230.662,19999.0
-9474.0,-283.6,-14180.0,20000.0
-9529.0,-286.2,-14311.432,19998.0
-9609.0,-304.4,-15220.0,20000.0
-9757.0,-311.4,-15571.557,19998.0
-9807.0,-340.6,-17030.0,20000.0
-9887.0,-347.2,-17360.87,19999.0
-9979.0,-363.2,-18161.816,19998.0
-10034.0,-372.0,-18600.0,20000.0
-10102.0,-385.6,-19280.965,19999.0
-10238.0,-411.0,-20551.027,19999.0
-10275.0,-400.2,-20011.002,19999.0
-10318.0,-411.0,-20551.027,19999.0
-10355.0,-407.0,-20216.57,20132.0
-10416.0,-419.0,-21091.312,19866.0
-10453.0,-438.6,-21931.098,19999.0
-10484.0,-431.8,-21590.0,20000.0
-10583.0,-469.8,-23492.348,19998.0
-10644.0,-456.4,-21651.88,21079.0
-9104.0,-414.0,-20703.105,19997.0
-5113.0,-326.6,-16330.816,19999.0
-6024.0,-281.2,-14067.738,19989.0
-9277.0,-498.0,-24902.49,19998.0
-10737.0,-574.2,-28711.436,19999.0
-10509.0,-456.2,-22807.72,20002.0
-10299.0,-421.0,-21051.053,19999.0
-10232.0,-433.2,-21662.166,19998.0
-10287.0,-435.4,-21771.088,19999.0
-10275.0,-442.8,-22138.893,20001.0
-10182.0,-411.8,-20588.97,20001.0
-9985.0,-428.6,-21431.072,19999.0
-9936.0,-375.8,-18791.879,19998.0
-9850.0,-399.4,-19972.996,19997.0
-9917.0,-396.2,-19803.07,20007.0
-8464.0,-338.2,-16910.0,20000.0
-4503.0,-240.6,-12036.62,19989.0
-3031.0,-214.4,-10720.536,19999.0
-2569.0,-184.2,-9210.921,19998.0
-2322.0,-178.4,-8915.097,20011.0
2205.0,-128.4,-6419.0366,20003.0
5858.0,-0.0,0.0,19996.0
2144.0,-0.0,0.0,19988.0
5532.0,34.8,1740.0,20000.0
6258.0,42.0,2099.58,20004.0
6191.0,20.8,1039.896,20002.0
7127.0,64.6,3231.2925,19992.0
7879.0,156.6,7831.175,19997.0
8008.0,133.0,6650.0,20000.0
8223.0,140.4,7020.3506,19999.0
8673.0,240.4,12018.798,20002.0
9492.0,258.6,12930.646,19999.0
9178.0,219.4,10972.743,19995.0
9228.0,244.8,12239.388,20001.0
9770.0,272.8,13642.046,19997.0
9887.0,278.2,13907.219,20004.0
9825.0,292.8,14641.464,19998.0
9905.0,310.0,15503.101,19996.0
10392.0,321.2,16055.986,20005.0
10410.0,338.2,16915.922,19993.0
10466.0,318.2,15902.05,20010.0
10225.0,355.8,17798.008,19991.0
10059.0,343.2,17163.434,19996.0
9973.0,346.2,17310.0,20000.0
9591.0,354.2,17707.344,20003.0
10484.0,371.8,18590.0,20000.0
10681.0,395.6,19783.957,19996.0
10570.0,332.6,16632.496,19997.0
10638.0,370.6,18529.074,20001.0
10675.0,388.4,19421.941,19998.0
10718.0,370.8,18540.0,20000.0
10724.0,377.8,18890.0,20000.0
10761.0,399.4,19972.996,19997.0
10761.0,391.6,19574.129,20006.0
10774.0,398.8,19943.988,19996.0
10441.0,389.4,19472.92,19997.0
10176.0,372.8,18640.0,20000.0
10010.0,404.0,20204.041,19996.0
9726.0,375.4,18770.0,20000.0
9899.0,393.8,19691.969,19998.0
9887.0,361.8,18090.0,20000.0
9905.0,372.8,18640.0,20000.0
9998.0,402.0,20103.016,19997.0
10065.0,406.0,20298.984,20001.0
10108.0,379.8,18992.848,19997.0
10275.0,425.0,21248.938,20001.0
10207.0,397.4,19869.006,20001.0
10293.0,422.6,21135.283,19995.0
10367.0,434.6,21731.086,19999.0
10410.0,434.6,21728.914,20001.0
10460.0,426.4,21320.0,20000.0
10496.0,426.8,21338.932,20001.0
10570.0,450.4,22525.63,19995.0
10601.0,449.6,22481.125,19999.0
10607.0,455.0,22750.0,20000.0
10601.0,446.4,22320.0,20000.0
10706.0,497.8,24888.756,20001.0
10743.0,481.0,24056.014,19995.0
10743.0,464.6,23231.162,19999.0
10786.0,510.0,25498.725,20001.0
10780.0,490.2,24511.227,19999.0
10798.0,476.6,23820.473,20008.0
10983.0,503.6,25193.857,19989.0
10885.0,492.4,24613.846,20005.0
11149.0,503.4,25177.553,19994.0
11180.0,479.8,23988.8,20001.0
11217.0,514.2,25708.715,20001.0
11242.0,507.2,25367.611,19994.0
11279.0,509.8,25490.0,20000.0
11266.0,514.0,25698.715,20001.0
11217.0,499.4,24971.248,19999.0
11223.0,490.8,24541.227,19999.0
11211.0,498.4,24922.492,19998.0
11149.0,470.6,23532.354,19998.0
11205.0,490.4,24520.0,20000.0
11162.0,474.2,23708.814,20001.0
11156.0,494.8,24742.475,19998.0
11211.0,485.6,24282.428,19998.0
11199.0,497.0,24852.484,19998.0
11211.0,499.4,24968.752,20001.0
11205.0,482.8,24133.967,20005.0
11174.0,482.6,24131.207,19999.0
10804.0,482.2,24117.236,19994.0
10749.0,460.8,23042.303,19998.0
10786.0,484.2,24208.791,20001.0
10355.0,436.4,21821.09,19999.0
10213.0,459.2,22961.148,19999.0
10379.0,465.8,23292.328,19998.0
10386.0,435.2,21757.824,20002.0
10958.0,475.2,23761.19,19999.0
11088.0,451.6,22581.129,19999.0
11112.0,475.8,23792.379,19998.0
11106.0,477.6,23882.389,19998.0
11106.0,455.0,22751.137,19999.0
11045.0,452.0,22604.521,19996.0
11076.0,459.0,22946.559,20003.0
11057.0,441.0,22052.205,19998.0
11076.0,459.6,22982.299,19998.0
11094.0,459.6,22981.148,19999.0
11063.0,444.6,22230.0,20000.0
11057.0,455.6,22777.723,20002.0
11045.0,441.2,22058.898,20001.0
10872.0,455.0,22755.69,19995.0
10490.0,430.4,21522.152,19998.0
10620.0,445.2,22261.113,19999.0
10275.0,407.0,20347.965,20002.0
9973.0,416.6,20833.125,19997.0
9967.0,404.2,20207.98,20002.0
10053.0,396.4,19823.965,19996.0
10102.0,421.2,21056.842,20003.0
9006.0,338.6,16929.154,20001.0
5334.0,292.6,14634.391,19994.0
4010.0,269.8,13489.999,20000.0
3604.0,261.4,13073.268,19995.0
3308.0,244.6,12230.0,20000.0
3203.0,228.0,11398.86,20002.0
3456.0,268.8,13442.6875,19996.0
3751.0,278.6,13931.394,19998.0
3807.0,277.6,13879.307,20001.0
3622.0,263.4,13170.658,19999.0
3345.0,233.0,11645.342,20008.0
1749.0,161.6,8080.8086,19998.0
6240.0,268.0,13404.691,19993.0
9874.0,470.2,23511.176,19999.0
10392.0,285.4,14270.713,19999.0
10238.0,365.2,18257.262,20003.0
9998.0,294.4,14721.472,19998.0
10090.0,340.2,17013.402,19996.0
10139.0,313.6,15680.0,20000.0
10188.0,362.4,18116.377,20004.0
10607.0,368.4,18420.92,19999.0
10737.0,401.8,20094.018,19996.0
10798.0,389.4,19473.895,19996.0
10854.0,427.0,21348.932,20001.0
10829.0,401.0,20052.006,19998.0
10854.0,425.0,21250.0,20000.0
10885.0,424.2,21208.94,20001.0
10977.0,433.4,21674.334,19996.0
10971.0,425.2,21260.0,20000.0
11026.0,440.4,22022.201,19998.0
10995.0,438.6,21930.0,20000.0
11032.0,431.4,21570.0,20000.0
11008.0,453.0,22653.398,19997.0
10983.0,436.0,21798.91,20001.0
11057.0,447.6,22382.238,19998.0
11057.0,468.2,23411.172,19999.0
11063.0,428.0,21398.93,20001.0
11088.0,465.2,23264.654,19996.0
11020.0,439.0,21950.0,20000.0
11039.0,431.0,21551.078,19999.0
11088.0,478.2,23910.0,20000.0
11045.0,438.4,21918.904,20001.0
11076.0,468.6,23435.86,19995.0
11076.0,453.4,22528.072,20126.0
11057.0,454.8,22885.32,19873.0
11002.0,436.4,21818.908,20001.0
10971.0,426.0,21300.0,20000.0
10940.0,424.0,21204.24,19996.0
10946.0,427.8,20435.654,20934.0
10952.0,409.4,20465.906,20004.0
10681.0,421.0,21056.316,19994.0
10349.0,409.8,20488.975,20001.0
10367.0,437.6,21882.19,19998.0
9973.0,398.8,19940.996,19999.0
9961.0,415.0,20751.037,19999.0
9979.0,383.6,19180.959,19999.0
9979.0,400.8,20040.0,20000.0
9979.0,406.2,20312.031,19998.0
10071.0,407.2,20361.02,19999.0
10121.0,388.8,19440.0,20000.0
10244.0,414.0,20702.07,19998.0
10219.0,405.2,20260.0,20000.0
10262.0,392.2,19611.96,19998.0
10342.0,441.2,22061.104,19999.0
10373.0,416.8,20840.0,20000.0
10466.0,451.2,22562.258,19998.0
10509.0,439.8,21988.9,20001.0
10496.0,429.4,21472.146,19998.0
10521.0,459.2,22962.297,19998.0
10595.0,443.8,22190.0,20000.0
10626.0,462.0,23102.31,19998.0
10644.0,445.2,22251.1,20008.0
6499.0,369.0,18459.23,19990.0
2803.0,205.0,10247.438,20005.0
2045.0,154.8,7738.8394,20003.0
-906.0,132.0,6603.632,19989.0
-6123.0,-35.2,-1760.088,19999.0
-6345.0,-55.4,-2770.1387,19999.0
-5784.0,-55.4,-2770.1387,19999.0
-5840.0,-61.2,-3040.2385,20130.0
