,left_voltage,right_voltage,left_velo,right_velo,dt
809,-2513,-11303,-182.600006,-507.600006,19998
810,-2267,-11310,-171.800003,-516.200012,20000
811,-2045,-11273,-158.0,-482.0,19999
812,-1829,-11236,-147.0,-499.399994,19999
813,-1860,-11236,-152.800003,-479.799988,19999
814,-1768,-11230,-141.800003,-493.200012,19999
815,-1632,-11248,-135.600006,-496.600006,19999
816,-1626,-11236,-134.199997,-477.600006,20004
817,-43,-11217,-107.599998,-511.0,19998
818,2821,-10817,-18.200001,-480.399994,19995
819,7761,-10127,120.0,-445.799988,20004
820,6924,-6807,89.599998,-374.600006,19999
821,7318,-4916,66.199997,-313.200012,19999
822,6665,758,45.200001,-115.400002,19999
823,6979,6659,95.199997,-0.0,19994
824,8199,5458,167.0,-0.0,19999
825,8334,5636,197.399994,-0.0,19999
826,8593,5994,199.800003,9.6,19999
827,8039,5593,187.600006,9.6,19999
828,8556,5858,207.600006,21.0,19999
829,8421,5901,222.0,25.799999,19999
830,8846,7515,254.600006,144.800003,19999
831,9283,8568,295.0,240.199997,20000
832,9480,8852,313.200012,208.0,19998
833,9536,8766,320.600006,213.600006,20000
834,9579,9055,320.600006,253.399994,19998
835,9579,9369,318.799988,268.399994,19999
836,9640,9591,333.600006,300.0,20006
837,4589,4127,217.600006,184.399994,20002
838,3197,-1805,173.0,27.4,19990
839,3739,-3462,209.199997,-117.0,20008
840,6733,-7133,319.0,-37.799999,19990
841,9930,-5840,502.799988,-29.6,19999
842,10349,-6203,427.399994,-23.4,19999
843,9831,-6222,332.799988,-23.4,20000
844,9696,-6209,338.399994,-28.0,19998
845,9837,-6258,363.200012,-24.0,19999
846,9844,-7059,360.399994,-109.400002,19999
847,9646,-8501,328.0,-210.0,19999
848,9622,-8655,355.0,-160.600006,19999
849,9622,-8279,343.600006,-156.199997,20000
850,9659,-8839,345.399994,-230.0,19998
851,9702,-9505,367.0,-264.0,20000
852,9776,-9603,347.0,-269.200012,19999
853,9800,-9683,359.0,-307.600006,19998
854,9837,-9825,348.799988,-322.0,19999
855,9942,-9954,359.200012,-375.399994,20000
856,9942,-10010,357.799988,-364.799988,19998
857,9991,-10053,356.600006,-388.799988,20006
858,6209,-6647,270.799988,-319.0,19989
859,2944,-3597,185.199997,-216.399994,19999
860,2261,-2710,169.800003,-195.0,20012
861,-918,-2895,129.800003,-172.199997,20000
862,-5045,-7644,129.800003,-414.0,19998
863,-3191,-10540,-23.0,-558.400024,19990
864,-5606,-11020,-22.6,-580.0,20000
865,-4934,-10423,-19.0,-474.600006,19999
866,-6406,-9782,-13.8,-306.600006,19998
867,-6536,-9880,-41.200001,-334.200012,20000
868,-7854,-9825,-152.199997,-380.0,19999
869,-7952,-9825,-141.0,-370.0,19999
870,-8217,-9954,-175.600006,-393.200012,19999
871,-8759,-9961,-220.0,-387.799988,19999
872,-9197,-9942,-241.800003,-415.600006,20004
873,-9191,-7854,-268.0,-331.600006,19994
874,-9726,-6536,-283.200012,-315.0,20004
875,-10004,-5180,-324.399994,-295.600006,19994
876,-10349,-3831,-334.200012,-258.200012,19999
877,-10441,-3277,-339.799988,-225.0,20000
878,-10577,-2951,-351.799988,-209.600006,19998
879,-10632,-3277,-379.399994,-272.200012,20000
880,-10681,-4762,-390.200012,-352.0,19999
881,-10694,-4872,-373.200012,-344.399994,19998
882,-10774,-4583,-404.200012,-313.200012,20000
883,-10768,-3973,-412.200012,-273.0,19999
884,-10774,-3012,-393.399994,-204.600006,19999
885,-10761,-2445,-393.200012,-177.399994,19999
886,-10743,-2156,-384.799988,-162.800003,19999
887,-10768,-1977,-409.399994,-152.800003,19999
888,-10786,-2014,-391.799988,-161.199997,19999
889,-10792,-2187,-415.600006,-169.800003,19999
890,-10743,-2218,-373.0,-172.800003,19999
891,-10774,-2119,-392.799988,-165.0,19999
892,-10780,-1903,-389.600006,-156.399994,19999
893,-10774,-1756,-411.0,-133.399994,19999
894,-10749,-1485,-383.200012,-121.599998,19999
895,-10811,-1306,-411.0,-110.0,19999
896,-10731,-1072,-386.799988,-96.0,19999
897,-10761,-887,-377.399994,-85.199997,19999
898,-10792,-813,-419.200012,-75.199997,19998
899,-10743,-912,-385.200012,-84.199997,19999
900,-10743,-1029,-392.399994,-95.400002,19999
901,-10768,-1109,-388.600006,-101.599998,19999
902,-10761,-1035,-416.600006,-95.800003,20126
903,-10577,-3209,-367.200012,-112.800003,19871
904,-10558,-6548,-419.0,-326.0,20004
905,-10312,-8796,-387.399994,-390.200012,19994
906,-9936,-9579,-392.200012,-231.399994,20000
907,-9862,-8575,-383.399994,-167.399994,21038
908,-9880,-8975,-400.399994,-242.0,19996
909,-9887,-9591,-370.799988,-267.399994,20000
910,-9924,-9640,-386.0,-290.600006,19999
911,-9942,-9813,-385.600006,-314.399994,19998
912,-10071,-9961,-395.200012,-347.600006,19999
913,-10164,-10090,-391.600006,-386.600006,20000
914,-10232,-10115,-425.200012,-389.600006,19997
915,-10195,-10188,-383.0,-386.600006,20000
