x,y,theta,left_voltage,right_voltage,left_velo,right_velo,left_accel,right_accel,left_eff,right_eff,dt
305.478699,137.931076,10.294983,9961,7564,424.399994,169.199997,21215.755859,8458.308594,59.922707,33.055328,20004
304.613831,136.220215,10.321394,8618,9394,352.799988,244.600006,17645.292969,12233.669922,57.891064,38.062267,19994
303.714752,134.670792,10.345620,9061,9511,374.000000,259.399994,18696.261719,12967.406250,57.623299,39.783516,20004
302.496857,133.217819,10.361894,7410,9659,337.200012,292.399994,16865.060547,14624.386719,64.059380,44.184441,19994
301.316467,131.910492,10.373579,4127,10188,252.600006,321.200012,12630.631836,16060.803711,87.429169,45.877735,19999
300.124298,130.749741,10.381318,3406,10410,241.000000,355.200012,12050.602539,17760.888672,90.126839,49.405369,19999
298.830200,129.805115,10.380759,3043,10564,217.800003,360.000000,10890.544922,18000.900391,0.000000,49.219410,19999
297.556244,128.916946,10.377411,2772,10632,211.000000,376.000000,10550.527344,18800.939453,0.000000,50.877632,19999
296.361450,128.175568,10.368078,2827,10694,212.199997,389.000000,10610.530273,19450.972656,0.000000,52.174530,19999
295.276794,127.525955,10.354456,3499,10761,279.000000,415.399994,13950.697266,20771.039062,0.000000,55.159580,19999
294.252167,127.008255,10.335936,3850,10798,275.200012,401.399994,13760.000977,20070.000000,0.000000,52.963596,20000
293.105804,126.625954,10.314667,3634,10872,267.000000,419.600006,13351.334961,20982.097656,0.000000,54.783859,19998
291.895752,126.358063,10.292068,3265,10958,231.000000,416.000000,11550.577148,20801.041016,0.000000,53.688221,19999
290.687195,126.134529,10.268722,2901,10860,213.399994,425.200012,10670.533203,21261.064453,0.000000,55.303463,19999
290.108337,125.919960,10.255785,2310,10065,164.399994,250.199997,8220.821289,12511.250977,0.000000,35.613903,19998
290.024170,125.721169,10.265650,1398,8667,105.400002,124.199997,5270.263672,6210.310547,0.000000,20.981836,19999
290.015503,125.543190,10.277815,505,6640,75.599998,92.000000,3780.000000,4600.000000,0.000000,20.617275,20000
289.992004,125.414177,10.286886,62,7497,75.599998,137.600006,3780.188965,6880.344238,0.000000,27.119373,19999
289.871216,125.311211,10.289595,31,7897,78.800003,92.400002,3940.197266,4620.230957,0.000000,17.236320,19999
289.803040,125.101303,10.298294,18,6647,78.800003,71.000000,3940.197266,3550.177490,0.000000,15.856887,19999
